epoch, train_cls_loss, train_ld_loss, valid_cls_loss
0, 5.545253814697266, 0.3052964699268341, 5.545680046081543
1, 5.544203533172608, 0.304727196931839, 5.547628182631272
2, 5.542688957214356, 0.3037873947620392, 5.542923193711501
3, 5.52112060546875, 0.3023864850997925, 5.517429278447078
4, 5.500053268432617, 0.3004185872077942, 5.513126886807955
5, 5.465010135650635, 0.29880485677719115, 5.487956450535701
6, 5.332995452880859, 0.2925570182800293, 5.216233583597036
7, 5.074967788696289, 0.28369892048835754, 5.10321463071383
8, 4.908735271453858, 0.27638005805015564, 5.056577462416429
9, 4.8173127899169925, 0.27332463455200195, 4.965515210078313
10, 4.74657568359375, 0.2695555024147034, 4.991918123685396
11, 4.687848411560059, 0.2676806936264038, 4.9808868261484
12, 4.621367740631103, 0.26463433480262755, 4.953557417942927
13, 4.5644691352844236, 0.2638998388051987, 4.944977760314941
14, 4.4494869346618655, 0.2603551971912384, 4.896762664501484
15, 4.351696979522705, 0.25927715039253235, 4.893830409416785
16, 4.203511814117432, 0.2564992961883545, 4.82511226947491
17, 4.09215901184082, 0.2550734829902649, 4.755978951087365
18, 3.9258138694763183, 0.2519818416833878, 4.775464131281926
19, 3.777600467681885, 0.25047864973545075, 4.764114746680627
20, 3.644500246047974, 0.248895730137825, 4.938811558943528
21, 3.5222068672180176, 0.24782540118694305, 4.877066685603215
22, 3.40763193321228, 0.24521698129177094, 4.891482463249793
23, 3.280025779724121, 0.2450566785335541, 4.898038130540114
24, 3.1903234786987307, 0.24437180531024932, 4.843305000892053
25, 2.977647621154785, 0.24277813649177551, 4.91873653118427
26, 2.8619471588134764, 0.24193907821178437, 5.015211472144494
27, 2.7370381984710694, 0.24117003655433655, 5.088601149045504
